*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PID_PoM-Nano&ESP8266F-v100
*Date=06:46:58
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;2.4726;-2.24428;0;Bottom;Hole1
2;;;43.6206;-49.7423;0;Bottom;Hole3
3;;;2.4726;-49.7423;0;Bottom;Hole2
4;;;16.6966;-15.7063;0;Bottom;Via5
5;;;2.56503;-44.0964;90;Bottom;SEN1
6;;;15.1726;-32.9783;0;Bottom;Via10
7;;[THT];12.4147;-9.15423;90;Bottom;DOWN
8;3.3V;TO220 [THT];19.7122;-37.0423;0;Bottom;V.REG3.3
9;;;39.5566;-19.5163;0;Bottom;Via3
10;;;37.7786;-15.7063;0;Bottom;Via13
11;;;12.3786;-25.6123;0;Bottom;Via11
12;;;43.6206;-2.24428;0;Bottom;Hole4
13;;[THT];35.4565;-14.9962;-90;Bottom;SELECT
14;;;30.1586;-36.0263;0;Bottom;Via9
15;;;39.5566;-28.4063;0;Bottom;Via2
16;;;33.2066;-15.7063;0;Bottom;Via12
17;;;30.1537;-42.3747;0;Bottom;Via17
18;;[THT];23.2645;-43.4442;-90;Bottom;FLASH
19;10k;THT;39.8106;-38.5663;90;Bottom;10k?
20;;[THT];16.1525;-43.4442;-90;Bottom;RESET
21;;;6.2826;-36.7883;0;Bottom;Via6
22;10k;THT;36.0006;-38.5663;90;Bottom;10k?
23;;[THT];3.79454;-14.9804;-90;Bottom;LEFT
24;;THT;8.5686;-45.1703;-90;Bottom;FAN
25;4.7k;THT;32.1906;-38.5663;90;Bottom;4.7k?
26;;[THT];12.4147;-21.0922;90;Bottom;UP
27;;[THT];21.0507;-14.8923;90;Bottom;RIGHT
28;;;30.4126;-14.4363;0;Bottom;Via4
29;;;12.3786;-36.7883;0;Bottom;Via8
30;;;19.7315;-29.8438;180;Bottom;ESP8266-01
31;;;23.564;-24.3516;0;Bottom;Via15
32;;;26.0946;-20.7863;0;Bottom;Via1
33;;THT;2.4726;-26.3743;180;Bottom;LCD 16x2
34;;;24.8213;-42.3747;0;Bottom;Via16
35;;THT;8.5686;-40.5983;-90;Bottom;SSR
36;;;36.0006;-25.8748;180;Bottom;ARDUINO NANO
37;;;2.6504;-36.7975;90;Bottom;SEN2
38;;;23.564;-26.3675;0;Bottom;Via14
